ResponseID,ParticipantID,AssessmentID,CompetencyID,Score,ResponseDate
1,P1239,A005,C001,3,2024-12-31
2,P6508,A002,C006,5,2024-12-31
3,P6862,A004,C006,4,2024-12-31
4,P6876,A005,C010,4,2024-12-31
5,P3959,A001,C004,2,2024-12-31
6,P5742,A004,C003,3,2024-12-31
7,P6766,A003,C003,2,2024-12-31
8,P2612,A005,C003,2,2024-12-31
9,P10255,A005,C008,2,2024-12-31
10,P8589,A005,C010,5,2024-12-31
11,P1075,A004,C001,2,2024-12-31
12,P1832,A004,C009,2,2024-12-31
13,P3070,A004,C006,1,2024-12-31
14,P5538,A005,C006,4,2024-12-31
15,P4882,A005,C004,3,2024-12-31
16,P2810,A005,C001,3,2024-12-31
17,P9772,A001,C006,1,2024-12-31
18,P5662,A005,C006,2,2024-12-31
19,P3597,A001,C006,5,2024-12-31
20,P5535,A004,C005,3,2024-12-31
21,P9984,A001,C006,1,2024-12-31
22,P2209,A002,C004,5,2024-12-31
23,P5186,A001,C010,3,2024-12-31
24,P7612,A002,C004,4,2024-12-31
25,P2032,A005,C006,2,2024-12-31
26,P8514,A001,C008,2,2024-12-31
27,P7694,A003,C003,4,2024-12-31
28,P9062,A001,C005,4,2024-12-31
29,P1365,A003,C004,1,2024-12-31
30,P1771,A003,C001,5,2024-12-31
31,P4004,A003,C005,3,2024-12-31
32,P9647,A004,C004,2,2024-12-31
33,P4282,A003,C006,1,2024-12-31
34,P3364,A005,C006,3,2024-12-31
35,P2596,A005,C008,5,2024-12-31
36,P4119,A001,C006,3,2024-12-31
37,P8407,A001,C002,5,2024-12-31
38,P4189,A002,C010,5,2024-12-31
39,P6784,A002,C008,2,2024-12-31
40,P4916,A001,C007,3,2024-12-31
41,P3915,A001,C001,3,2024-12-31
42,P1767,A005,C002,5,2024-12-31
43,P1620,A005,C003,5,2024-12-31
44,P2659,A004,C005,4,2024-12-31
45,P10146,A004,C010,3,2024-12-31
46,P9535,A001,C001,4,2024-12-31
47,P4028,A005,C004,4,2024-12-31
48,P6268,A004,C005,2,2024-12-31
49,P7357,A004,C003,1,2024-12-31
50,P7518,A003,C004,2,2024-12-31
51,P5560,A002,C008,2,2024-12-31
52,P5295,A001,C008,4,2024-12-31
53,P4456,A001,C004,2,2024-12-31
54,P8555,A004,C008,1,2024-12-31
55,P2361,A003,C002,1,2024-12-31
56,P1631,A002,C009,4,2024-12-31
57,P4845,A005,C006,2,2024-12-31
58,P6358,A003,C004,5,2024-12-31
59,P10648,A005,C007,2,2024-12-31
60,P9291,A003,C007,3,2024-12-31
61,P4046,A003,C003,5,2024-12-31
62,P5717,A004,C006,4,2024-12-31
63,P7484,A004,C010,5,2024-12-31
64,P3877,A002,C006,5,2024-12-31
65,P6360,A002,C006,1,2024-12-31
66,P4381,A001,C003,4,2024-12-31
67,P7491,A001,C005,2,2024-12-31
68,P8650,A005,C002,3,2024-12-31
69,P3665,A005,C008,4,2024-12-31
70,P5677,A003,C006,1,2024-12-31
71,P1176,A005,C006,2,2024-12-31
72,P3300,A004,C001,3,2024-12-31
73,P2696,A003,C001,3,2024-12-31
74,P5587,A003,C006,5,2024-12-31
75,P8977,A003,C008,2,2024-12-31
76,P7115,A004,C008,2,2024-12-31
77,P4213,A005,C008,4,2024-12-31
78,P2366,A004,C007,1,2024-12-31
79,P10801,A002,C006,1,2024-12-31
80,P4949,A004,C002,3,2024-12-31
81,P7457,A005,C003,3,2024-12-31
82,P6138,A002,C003,5,2024-12-31
83,P4998,A001,C006,2,2024-12-31
84,P8409,A001,C006,3,2024-12-31
85,P1200,A003,C005,4,2024-12-31
86,P9210,A004,C001,1,2024-12-31
87,P4934,A004,C007,5,2024-12-31
88,P9718,A005,C009,3,2024-12-31
89,P4884,A003,C004,5,2024-12-31
90,P5914,A001,C002,4,2024-12-31
91,P6590,A003,C002,1,2024-12-31
92,P3792,A005,C003,2,2024-12-31
93,P7705,A005,C002,1,2024-12-31
94,P3355,A003,C002,4,2024-12-31
95,P3162,A005,C003,1,2024-12-31
96,P6543,A003,C005,2,2024-12-31
97,P3670,A001,C002,2,2024-12-31
98,P6337,A004,C004,2,2024-12-31
99,P9083,A001,C001,3,2024-12-31
100,P9262,A003,C002,4,2024-12-31
101,P9870,A003,C008,5,2024-12-31
102,P2522,A003,C005,1,2024-12-31
103,P3998,A003,C010,2,2024-12-31
104,P2709,A003,C001,1,2024-12-31
105,P4743,A005,C003,4,2024-12-31
106,P6083,A001,C008,3,2024-12-31
107,P3254,A001,C006,3,2024-12-31
108,P1458,A001,C003,1,2024-12-31
109,P2248,A004,C002,2,2024-12-31
110,P5646,A001,C010,5,2024-12-31
111,P2473,A002,C009,3,2024-12-31
112,P1675,A003,C007,2,2024-12-31
113,P5485,A005,C004,5,2024-12-31
114,P6178,A005,C004,5,2024-12-31
115,P9014,A002,C004,3,2024-12-31
116,P3990,A002,C009,5,2024-12-31
117,P10845,A003,C009,1,2024-12-31
118,P6847,A004,C002,3,2024-12-31
119,P6848,A001,C008,3,2024-12-31
120,P10492,A002,C003,3,2024-12-31
121,P6183,A005,C003,2,2024-12-31
122,P2340,A004,C007,2,2024-12-31
123,P10951,A003,C001,4,2024-12-31
124,P1645,A001,C003,4,2024-12-31
125,P4556,A005,C002,2,2024-12-31
126,P8889,A004,C001,2,2024-12-31
127,P2726,A004,C010,1,2024-12-31
128,P5403,A002,C002,5,2024-12-31
129,P7229,A004,C001,2,2024-12-31
130,P8903,A001,C006,3,2024-12-31
131,P2120,A003,C009,1,2024-12-31
132,P1115,A004,C010,5,2024-12-31
133,P5519,A003,C004,4,2024-12-31
134,P6794,A004,C010,1,2024-12-31
135,P7091,A003,C005,1,2024-12-31
136,P1925,A002,C005,1,2024-12-31
137,P7788,A005,C002,5,2024-12-31
138,P1691,A002,C002,4,2024-12-31
139,P9676,A004,C010,5,2024-12-31
140,P9443,A002,C003,5,2024-12-31
141,P4840,A002,C007,5,2024-12-31
142,P6597,A001,C005,1,2024-12-31
143,P2403,A005,C002,4,2024-12-31
144,P6265,A001,C003,4,2024-12-31
145,P3996,A001,C009,1,2024-12-31
146,P7864,A001,C002,2,2024-12-31
147,P10595,A001,C005,5,2024-12-31
148,P4987,A001,C006,2,2024-12-31
149,P7968,A005,C002,4,2024-12-31
150,P2661,A003,C008,5,2024-12-31
151,P7556,A005,C006,2,2024-12-31
152,P9776,A004,C008,3,2024-12-31
153,P2044,A003,C001,4,2024-12-31
154,P6859,A002,C007,1,2024-12-31
155,P5407,A003,C007,1,2024-12-31
156,P3729,A001,C003,3,2024-12-31
157,P1288,A001,C009,5,2024-12-31
158,P5698,A004,C004,1,2024-12-31
159,P4207,A003,C007,3,2024-12-31
160,P7587,A002,C001,3,2024-12-31
161,P4112,A004,C004,1,2024-12-31
162,P8399,A002,C008,5,2024-12-31
163,P10325,A003,C003,2,2024-12-31
164,P3240,A005,C002,5,2024-12-31
165,P4082,A003,C003,2,2024-12-31
166,P4222,A001,C004,2,2024-12-31
167,P7926,A005,C007,2,2024-12-31
168,P10934,A002,C002,1,2024-12-31
169,P6791,A005,C006,2,2024-12-31
170,P2046,A003,C008,1,2024-12-31
171,P9253,A001,C009,3,2024-12-31
172,P10421,A004,C007,2,2024-12-31
173,P5222,A005,C009,3,2024-12-31
174,P2033,A005,C004,5,2024-12-31
175,P1658,A002,C004,5,2024-12-31
176,P5649,A003,C005,3,2024-12-31
177,P6297,A004,C008,4,2024-12-31
178,P5974,A001,C005,5,2024-12-31
179,P4883,A003,C003,1,2024-12-31
180,P2193,A005,C003,5,2024-12-31
181,P5935,A002,C003,2,2024-12-31
182,P2832,A001,C004,2,2024-12-31
183,P1773,A005,C001,5,2024-12-31
184,P10836,A001,C004,3,2024-12-31
185,P6334,A005,C002,4,2024-12-31
186,P1879,A004,C009,5,2024-12-31
187,P3726,A001,C009,2,2024-12-31
188,P6630,A004,C006,5,2024-12-31
189,P7211,A005,C003,5,2024-12-31
190,P4866,A005,C004,1,2024-12-31
191,P2704,A001,C001,4,2024-12-31
192,P6608,A005,C003,4,2024-12-31
193,P8831,A005,C003,5,2024-12-31
194,P7213,A003,C007,4,2024-12-31
195,P3673,A001,C009,3,2024-12-31
196,P1294,A003,C006,4,2024-12-31
197,P5415,A001,C007,5,2024-12-31
198,P6958,A001,C002,2,2024-12-31
199,P6962,A001,C001,2,2024-12-31
200,P8673,A003,C002,1,2024-12-31
201,P8810,A003,C008,2,2024-12-31
202,P5754,A005,C007,1,2024-12-31
203,P7621,A003,C010,2,2024-12-31
204,P1151,A003,C008,3,2024-12-31
205,P4753,A004,C001,3,2024-12-31
206,P6410,A002,C010,4,2024-12-31
207,P4757,A004,C001,3,2024-12-31
208,P7372,A004,C007,5,2024-12-31
209,P6707,A005,C003,1,2024-12-31
210,P1084,A005,C006,2,2024-12-31
211,P7308,A004,C004,5,2024-12-31
212,P3084,A001,C005,5,2024-12-31
213,P6661,A004,C003,1,2024-12-31
214,P1842,A003,C006,1,2024-12-31
215,P9889,A001,C010,3,2024-12-31
216,P4769,A005,C005,3,2024-12-31
217,P9836,A003,C001,2,2024-12-31
218,P3646,A002,C010,1,2024-12-31
219,P2903,A001,C006,2,2024-12-31
220,P10853,A001,C007,2,2024-12-31
221,P1080,A003,C006,5,2024-12-31
222,P1166,A005,C002,5,2024-12-31
223,P5100,A004,C002,2,2024-12-31
224,P4384,A001,C004,2,2024-12-31
225,P6613,A004,C003,5,2024-12-31
226,P7422,A002,C007,1,2024-12-31
227,P7469,A004,C001,3,2024-12-31
228,P2163,A002,C006,5,2024-12-31
229,P5006,A004,C003,4,2024-12-31
230,P1171,A004,C010,2,2024-12-31
231,P1002,A004,C010,5,2024-12-31
232,P6593,A003,C002,5,2024-12-31
233,P1600,A002,C008,3,2024-12-31
234,P10936,A005,C004,3,2024-12-31
235,P7435,A005,C007,5,2024-12-31
236,P9020,A002,C009,2,2024-12-31
237,P3989,A001,C003,5,2024-12-31
238,P7980,A005,C005,4,2024-12-31
239,P1014,A001,C007,5,2024-12-31
240,P1670,A001,C010,3,2024-12-31
241,P3499,A004,C001,5,2024-12-31
242,P1750,A001,C010,4,2024-12-31
243,P1732,A004,C009,4,2024-12-31
244,P1437,A005,C006,3,2024-12-31
245,P8520,A004,C003,4,2024-12-31
246,P4721,A004,C001,4,2024-12-31
247,P4253,A005,C008,5,2024-12-31
248,P1301,A002,C003,1,2024-12-31
249,P10258,A003,C007,5,2024-12-31
250,P1347,A004,C005,5,2024-12-31
251,P5397,A001,C006,2,2024-12-31
252,P3671,A001,C006,1,2024-12-31
253,P9576,A005,C001,3,2024-12-31
254,P1748,A005,C008,2,2024-12-31
255,P6743,A005,C008,5,2024-12-31
256,P6356,A001,C003,2,2024-12-31
257,P9614,A001,C010,5,2024-12-31
258,P6613,A003,C005,1,2024-12-31
259,P5397,A003,C010,2,2024-12-31
260,P1220,A003,C008,1,2024-12-31
261,P7937,A003,C004,1,2024-12-31
262,P9358,A003,C001,3,2024-12-31
263,P2801,A004,C010,4,2024-12-31
264,P4436,A004,C007,4,2024-12-31
265,P10566,A003,C007,5,2024-12-31
266,P10959,A003,C003,5,2024-12-31
267,P3388,A005,C002,3,2024-12-31
268,P1676,A005,C006,3,2024-12-31
269,P9960,A003,C001,3,2024-12-31
270,P5069,A002,C006,4,2024-12-31
271,P1691,A002,C010,1,2024-12-31
272,P7923,A001,C003,5,2024-12-31
273,P3571,A003,C003,1,2024-12-31
274,P10193,A001,C001,4,2024-12-31
275,P4793,A004,C003,3,2024-12-31
276,P3870,A002,C008,2,2024-12-31
277,P3056,A004,C004,4,2024-12-31
278,P10625,A003,C010,5,2024-12-31
279,P9111,A003,C004,5,2024-12-31
280,P6774,A004,C006,1,2024-12-31
281,P4562,A005,C001,2,2024-12-31
282,P9368,A004,C003,4,2024-12-31
283,P6976,A002,C004,1,2024-12-31
284,P10854,A002,C006,2,2024-12-31
285,P10469,A005,C006,4,2024-12-31
286,P9047,A001,C003,1,2024-12-31
287,P7980,A002,C006,2,2024-12-31
288,P9242,A005,C003,4,2024-12-31
289,P2957,A003,C005,1,2024-12-31
290,P4875,A001,C008,4,2024-12-31
291,P5764,A005,C009,3,2024-12-31
292,P4792,A005,C004,1,2024-12-31
293,P7941,A005,C005,1,2024-12-31
294,P9039,A001,C008,4,2024-12-31
295,P10822,A003,C008,3,2024-12-31
296,P8254,A003,C005,5,2024-12-31
297,P8838,A005,C004,4,2024-12-31
298,P9769,A003,C006,2,2024-12-31
299,P4360,A001,C006,2,2024-12-31
300,P4711,A001,C006,2,2024-12-31
301,P6410,A005,C004,1,2024-12-31
302,P7730,A004,C006,2,2024-12-31
303,P3975,A001,C008,5,2024-12-31
304,P9992,A004,C007,2,2024-12-31
305,P5447,A001,C003,2,2024-12-31
306,P3830,A003,C002,3,2024-12-31
307,P1927,A004,C008,2,2024-12-31
308,P2344,A005,C008,2,2024-12-31
309,P6763,A002,C007,4,2024-12-31
310,P8104,A004,C007,4,2024-12-31
311,P9525,A002,C001,2,2024-12-31
312,P2495,A005,C004,4,2024-12-31
313,P9050,A001,C007,4,2024-12-31
314,P10309,A004,C009,4,2024-12-31
315,P9957,A001,C001,2,2024-12-31
316,P9360,A002,C001,3,2024-12-31
317,P6441,A001,C009,5,2024-12-31
318,P2447,A003,C004,4,2024-12-31
319,P4027,A005,C004,2,2024-12-31
320,P1234,A005,C004,1,2024-12-31
321,P1108,A002,C006,3,2024-12-31
322,P9024,A004,C009,4,2024-12-31
323,P10595,A004,C007,2,2024-12-31
324,P5887,A001,C008,1,2024-12-31
325,P4817,A002,C009,1,2024-12-31
326,P2898,A001,C001,1,2024-12-31
327,P4135,A004,C009,5,2024-12-31
328,P6659,A005,C006,5,2024-12-31
329,P7473,A003,C002,1,2024-12-31
330,P7936,A003,C004,5,2024-12-31
331,P4766,A001,C007,3,2024-12-31
332,P8831,A005,C008,2,2024-12-31
333,P7008,A005,C001,1,2024-12-31
334,P7168,A003,C003,4,2024-12-31
335,P5755,A002,C004,5,2024-12-31
336,P7210,A005,C001,5,2024-12-31
337,P6996,A003,C009,4,2024-12-31
338,P3605,A001,C007,1,2024-12-31
339,P10000,A005,C005,5,2024-12-31
340,P6285,A003,C004,4,2024-12-31
341,P1077,A004,C005,3,2024-12-31
342,P8657,A001,C004,4,2024-12-31
343,P9474,A001,C004,3,2024-12-31
344,P9780,A002,C008,3,2024-12-31
345,P5835,A001,C002,2,2024-12-31
346,P6646,A002,C002,4,2024-12-31
347,P1572,A003,C002,5,2024-12-31
348,P7226,A004,C002,1,2024-12-31
349,P1421,A005,C010,1,2024-12-31
350,P1560,A002,C008,1,2024-12-31
351,P5135,A002,C010,5,2024-12-31
352,P6302,A002,C005,1,2024-12-31
353,P4171,A005,C005,3,2024-12-31
354,P4996,A003,C005,5,2024-12-31
355,P10045,A005,C009,5,2024-12-31
356,P6137,A004,C005,1,2024-12-31
357,P7465,A005,C002,4,2024-12-31
358,P3149,A003,C009,3,2024-12-31
359,P10225,A003,C003,1,2024-12-31
360,P6572,A005,C002,5,2024-12-31
361,P6426,A002,C008,1,2024-12-31
362,P9092,A002,C002,5,2024-12-31
363,P4103,A004,C010,5,2024-12-31
364,P1156,A005,C001,1,2024-12-31
365,P8247,A004,C001,5,2024-12-31
366,P10787,A005,C008,1,2024-12-31
367,P3598,A002,C008,2,2024-12-31
368,P6474,A004,C008,1,2024-12-31
369,P4602,A002,C008,2,2024-12-31
370,P6596,A004,C006,1,2024-12-31
371,P5646,A005,C007,3,2024-12-31
372,P10495,A005,C006,1,2024-12-31
373,P4323,A003,C007,3,2024-12-31
374,P3908,A004,C001,4,2024-12-31
375,P7906,A004,C010,3,2024-12-31
376,P1896,A002,C002,5,2024-12-31
377,P9937,A003,C009,2,2024-12-31
378,P8739,A002,C002,4,2024-12-31
379,P10486,A005,C005,4,2024-12-31
380,P5507,A005,C007,3,2024-12-31
381,P1288,A003,C009,5,2024-12-31
382,P5344,A005,C009,1,2024-12-31
383,P7219,A002,C008,3,2024-12-31
384,P2023,A002,C003,1,2024-12-31
385,P5142,A003,C010,1,2024-12-31
386,P2994,A002,C008,4,2024-12-31
387,P5934,A004,C001,2,2024-12-31
388,P8899,A004,C007,5,2024-12-31
389,P1809,A001,C004,4,2024-12-31
390,P10964,A003,C004,3,2024-12-31
391,P4406,A004,C005,4,2024-12-31
392,P3807,A005,C008,4,2024-12-31
393,P9341,A005,C003,4,2024-12-31
394,P2740,A002,C004,4,2024-12-31
395,P1960,A004,C008,4,2024-12-31
396,P6822,A004,C008,3,2024-12-31
397,P5288,A005,C005,1,2024-12-31
398,P3131,A002,C005,1,2024-12-31
399,P4219,A005,C005,1,2024-12-31
400,P2023,A004,C005,1,2024-12-31
401,P5365,A002,C005,1,2024-12-31
402,P1467,A005,C003,3,2024-12-31
403,P9457,A005,C001,5,2024-12-31
404,P9542,A004,C008,2,2024-12-31
405,P1300,A003,C005,3,2024-12-31
406,P10406,A004,C006,2,2024-12-31
407,P4210,A001,C007,4,2024-12-31
408,P7753,A004,C007,3,2024-12-31
409,P7683,A005,C009,3,2024-12-31
410,P1978,A004,C010,5,2024-12-31
411,P1370,A003,C007,4,2024-12-31
412,P6230,A003,C003,5,2024-12-31
413,P1183,A001,C005,1,2024-12-31
414,P3727,A001,C006,4,2024-12-31
415,P10409,A002,C002,4,2024-12-31
416,P2250,A004,C006,5,2024-12-31
417,P5494,A001,C005,1,2024-12-31
418,P4559,A003,C008,5,2024-12-31
419,P1500,A004,C003,1,2024-12-31
420,P8415,A004,C007,2,2024-12-31
421,P6939,A003,C010,1,2024-12-31
422,P4623,A002,C009,2,2024-12-31
423,P1102,A001,C001,5,2024-12-31
424,P7413,A003,C008,5,2024-12-31
425,P7604,A003,C004,5,2024-12-31
426,P9183,A005,C010,3,2024-12-31
427,P8022,A005,C006,4,2024-12-31
428,P4704,A001,C008,1,2024-12-31
429,P9361,A004,C010,1,2024-12-31
430,P10756,A004,C007,1,2024-12-31
431,P6326,A004,C008,4,2024-12-31
432,P3403,A004,C010,2,2024-12-31
433,P2306,A005,C003,2,2024-12-31
434,P9351,A003,C008,2,2024-12-31
435,P9920,A005,C003,5,2024-12-31
436,P2136,A001,C002,3,2024-12-31
437,P8450,A001,C010,3,2024-12-31
438,P6267,A005,C006,1,2024-12-31
439,P3538,A004,C004,2,2024-12-31
